Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
MATLAB,Beginner,What is the syntax for a loop in MATLAB?,for i = 0; i < 10; i++,for i in range(10):,while i < 10:,loop i in 10,B
C,Advanced,What is garbage collection in C?,None of the above,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,B
Swift,Intermediate,How do you define a class in Swift?,function ClassName() {},define ClassName(),class ClassName:,class: ClassName,C
HTML & CSS,Intermediate,Explain the concept of scope in HTML & CSS.,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,A
Go,Beginner,How do you define a function in Go?,def function_name():,function_name() = {},function function_name(){},function_name(){},A
C++,Advanced,What are advanced use cases for C++?,"High-performance computing, data analysis, AI",None of the above,Basic website scripting,File system management,A
R,Intermediate,How do you handle errors in R?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
COBOL,Beginner,What is the syntax for a basic COBOL program?,print('Hello World'),System.out.println('Hello World'),console.log('Hello World'),echo 'Hello World',A
Scala,Intermediate,How do you define a class in Scala?,function ClassName() {},define ClassName(),class: ClassName,class ClassName:,D
Swift,Advanced,How does memory management work in Swift?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Scala,Intermediate,How do you define a class in Scala?,class ClassName:,function ClassName() {},class: ClassName,define ClassName(),A
F#,Intermediate,How do you handle errors in F#?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
Swift,Intermediate,How do you handle errors in Swift?,Try-except blocks,If-else statements,Error-handling functions,None of the above,A
C#,Beginner,What is the syntax for a basic C# program?,System.out.println('Hello World'),echo 'Hello World',print('Hello World'),console.log('Hello World'),C
Kotlin,Intermediate,Explain the concept of scope in Kotlin.,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,A
F#,Advanced,Explain multithreading or asynchronous operations in F#.,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,None of the above,B
C#,Beginner,What is the difference between a string and an integer in C#?,A string is a sequence of characters,"An integer is a whole number, a string is text","A string is a number, and an integer is text",There is no difference,B
JavaScript,Intermediate,Explain the concept of scope in JavaScript.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,Scope is how fast a program runs,None of the above,A
Groovy,Advanced,How does memory management work in Groovy?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
F#,Intermediate,How do you define a class in F#?,define ClassName(),function ClassName() {},class: ClassName,class ClassName:,D
C++,Advanced,How does memory management work in C++?,Memory management is handled by users,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,D
R,Beginner,How do you write comments in R?,// comment,# comment,/* comment */,comment(),B
Scala,Advanced,Discuss performance optimization techniques in Scala.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
Python,Advanced,What are advanced use cases for Python?,File system management,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,C
Go,Intermediate,What are common data structures in Go?,"Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",C
PHP,Intermediate,How do you handle errors in PHP?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
COBOL,Intermediate,How do you handle errors in COBOL?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
Scala,Intermediate,Explain the concept of scope in Scala.,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,A
Haskell,Advanced,What is garbage collection in Haskell?,None of the above,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,C
SQL,Beginner,What does the print function do in SQL?,Writes a value to a file,Displays a value on the screen,Stores data,Returns a value,B
F#,Advanced,What is garbage collection in F#?,None of the above,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,C
SQL,Advanced,What are advanced use cases for SQL?,"High-performance computing, data analysis, AI",Basic website scripting,File system management,None of the above,A
TypeScript,Beginner,How do you import modules in TypeScript?,using module_name,require module_name,include module_name,import module_name,D
Julia,Advanced,Discuss performance optimization techniques in Julia.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
C,Intermediate,What are common data structures in C?,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,"Functions, arrays, objects",A
Scala,Beginner,How do you import modules in Scala?,include module_name,import module_name,require module_name,using module_name,B
Rust,Intermediate,Explain the concept of scope in Rust.,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,A
Haskell,Beginner,What is the syntax for a basic Haskell program?,System.out.println('Hello World'),print('Hello World'),console.log('Hello World'),echo 'Hello World',B
Bash,Beginner,What is the syntax for a basic Bash program?,System.out.println('Hello World'),console.log('Hello World'),print('Hello World'),echo 'Hello World',C
Kotlin,Beginner,How do you define a function in Kotlin?,function_name(){},function_name() = {},function function_name(){},def function_name():,D
Lua,Beginner,What does the print function do in Lua?,Returns a value,Stores data,Displays a value on the screen,Writes a value to a file,C
Haskell,Beginner,What is the syntax for a loop in Haskell?,loop i in 10,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,D
Groovy,Advanced,How does memory management work in Groovy?,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,Memory management is handled by users,C
Go,Beginner,What is the difference between a string and an integer in Go?,A string is a sequence of characters,There is no difference,"An integer is a whole number, a string is text","A string is a number, and an integer is text",C
Lua,Beginner,What is an array in Lua?,A collection of functions,A set of variables,A list of random values,A collection of elements of the same type,D
